linkRateLog 
link index, time(s), link rate (dataSize/ms)LINK_0,1001,1,0
LINK_0,2001,1001,0
LINK_1,2001,1001,0
LINK_1,3001,2001,0
LINK_0,4001,3001,0
LINK_1,4001,3001,0
LINK_0,11011,10001,1
LINK_1,12021,11011,1
LINK_1,13021,12021,0
LINK_0,14021,13021,0
LINK_0,15041,14021,2
LINK_1,16061,15041,2
LINK_1,17061,16061,0
LINK_0,18061,17061,0
LINK_0,19101,18061,4
LINK_1,20141,19101,4
LINK_1,21141,20141,0
LINK_0,22141,21141,0
LINK_0,23221,22141,8
LINK_1,24301,23221,8
LINK_1,25301,24301,0
LINK_0,26301,25301,0
LINK_0,27461,26301,16
LINK_1,28621,27461,16
LINK_1,29621,28621,0
LINK_0,30621,29621,0
LINK_0,31941,30621,32
LINK_1,33261,31941,32
LINK_1,34261,33261,0
LINK_0,35261,34261,0
LINK_0,49855,48845,1
LINK_0,50865,49855,1
LINK_1,50865,49855,1
LINK_0,51875,50865,1
LINK_1,51875,50865,1
LINK_1,52875,51875,0
LINK_0,52885,51875,1
LINK_1,53885,52875,1
LINK_0,53885,52885,0
LINK_1,54885,53885,0
LINK_0,55885,54885,0
LINK_1,55895,54885,1
LINK_0,56895,55885,1
LINK_1,56895,55895,0
LINK_0,57895,56895,0
LINK_1,57895,56895,0
LINK_0,58895,57895,0
LINK_1,58905,57895,1
LINK_1,59905,58905,0
LINK_0,60905,59905,0
LINK_0,61925,60905,2
LINK_1,62945,61925,2
LINK_1,63945,62945,0
LINK_0,64945,63945,0
LINK_0,65985,64945,4
LINK_1,67025,65985,4
LINK_1,68025,67025,0
LINK_0,69025,68025,0
LINK_0,70105,69025,8
LINK_1,71185,70105,8
LINK_1,72185,71185,0
LINK_0,73185,72185,0
LINK_0,74345,73185,16
LINK_1,75505,74345,16
LINK_1,76505,75505,0
LINK_0,77505,76505,0
LINK_0,78825,77505,32
LINK_1,80145,78825,32
LINK_1,81145,80145,0
LINK_0,82145,81145,0
LINK_0,83475,82145,33
LINK_1,84805,83475,33
LINK_1,85805,84805,0
LINK_0,86805,85805,0
LINK_0,88145,86805,34
LINK_1,89485,88145,34
LINK_1,90485,89485,0
LINK_0,91485,90485,0
LINK_0,92835,91485,35
LINK_1,94185,92835,35
LINK_1,95185,94185,0
LINK_0,96185,95185,0
LINK_0,97545,96185,36
LINK_1,98905,97545,36
LINK_1,99905,98905,0
LINK_0,100905,99905,0
LINK_0,102265,100905,36
LINK_1,103625,102265,36
LINK_1,104625,103625,0
LINK_0,105625,104625,0
LINK_0,106625,105625,0
LINK_1,107625,106625,0
LINK_0,107635,106625,1
LINK_1,108625,107625,0
LINK_0,108645,107635,1
LINK_1,109635,108625,1
LINK_0,109655,108645,1
LINK_1,110645,109635,1
LINK_0,110665,109655,1
LINK_1,111645,110645,0
LINK_0,111665,110665,0
LINK_1,112655,111645,1
LINK_0,112675,111665,1
LINK_1,113655,112655,0
LINK_0,113675,112675,0
LINK_1,114665,113655,1
LINK_0,114675,113675,0
LINK_1,115665,114665,0
LINK_0,116323,115313,1
LINK_1,116675,115665,1
LINK_0,117323,116323,0
LINK_1,117675,116675,0
LINK_0,118675,117675,0
LINK_1,118685,117675,1
LINK_1,119685,118685,0
LINK_0,120685,119685,0
LINK_1,120685,119685,0
LINK_0,121685,120685,0
